ID,Year,Season,ID AND SEASON,August BODY WEIGHT,November BODY WEIGHT,August NO STEP VERTICAL,November NO STEP VERTICAL,August VERTICAL WATTS,November VERTICAL WATTS,August CLEAN,November CLEAN, August BENCH,November BENCH,August LIFT TOTAL,November LIFT TOTAL,August POUND 4 POUND,November POUND 4 POUND,August SQUAT,November SQUAT,Games Played,Games Started,Goals Scored,Assists,Goals + Assists,Shots,Shot% ,Goals while up,Goals while down,Ground Balls,Turnovers,Caused Turnovers
173,2015,2016,1732016,178,176,31,31,6372.78,6372.78,280,285,275,275,970,975,5.45,5.54,415,415,19,19 ,26 ,14 ,40 ,69 ,.377 ,3 ,0 ,13 ,15 ,0 
174,2012,2013,1742013,206,198,21.5,20.5,5713.79,5391,230,230,170,185,680,695,3.30,3.51,280,280,6,0 ,2 ,0 ,2 ,6 ,.333 ,0 ,0 ,1 ,3 ,0 
174,2013,2014,1742014,200,201,21.5,20.5,5713.79,5391,215,235,170,185,650,695,3.25,3.46,265,275,8,0 ,2 ,0 ,2 ,5 ,.400 ,0 ,0 ,0 ,1 ,0 
174,2014,2015,1742015,217,209,21.5,20.5,5713.79,5391,250,265,205,220,760,785,3.50,3.76,305,300,8,0 ,1 ,1 ,2 ,8 ,.125 ,0 ,0 ,0 ,4 ,0 
174,2015,2016,1742016,196,200,21.5,21.5,5292.44,5292.44,245,255,200,200,830,840,4.23,4.20,385,385,6,0 ,1 ,1 ,2 ,8 ,.125 ,1 ,0 ,2 ,3 ,0 
175,2012,2013,1752013,175,178,25.5,28,5559.74,6045.9,195,195,220,230,685,695,3.91,3.90,270,270,8,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,5 ,1 ,2 
175,2013,2014,1752014,180,182,25.5,28,5559.74,6045.9,195,205,235,245,685,755,3.81,4.15,255,305,18,5 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,15 ,3 ,6 
175,2014,2015,1752015,179,184,25.5,28,5559.74,6045.9,200,225,245,270,720,805,4.02,4.38,275,310,18,0 ,0 ,2 ,2 ,1 ,.000 ,0 ,0 ,15 ,5 ,6 
175,2015,2016,1752016,185,188,28.5,28.5,6131.21,6131.21,225,230,250,250,800,805,4.32,4.28,325,325,19,3 ,2 ,2 ,4 ,3 ,.667 ,0 ,0 ,34 ,2 ,16 
176,2012,2013,1762013,240,235,27.5,30,7125.97,7414.82,240,240,255,295,870,910,3.63,3.87,375,375,18,5 ,16 ,5 ,21 ,55 ,.291 ,0 ,0 ,7 ,13 ,1 
176,2013,2014,1762014,241,238,27.5,30,7125.97,7414.82,255,285,275,305,895,1050,3.71,4.41,365,460,20,16 ,37 ,26 ,63 ,114 ,.325 ,3 ,0 ,14 ,27 ,2 
176,2014,2015,1762015,240,236,27.5,30,7125.97,7414.82,260,295,275,330,915,1090,3.81,4.62,380,465,18,18 ,40 ,37 ,77 ,135 ,.296 ,1 ,0 ,25 ,38 ,2 
176,2015,2016,1762016,239,247,29.5,29.5,7401.45,7401.45,285,315,295,295,1015,1045,4.25,4.23,435,435,19,19 ,33 ,37 ,70 ,123 ,.268 ,0 ,0 ,16 ,38 ,1 
177,2012,2013,1772013,194,186,23,24.5,5624.42,5726.2,255,255,300,295,915,910,4.72,4.89,360,360,9,0 ,0 ,0 ,0 ,1 ,.000 ,0 ,0 ,2 ,2 ,1 
177,2013,2014,1772014,193,196,23,24.5,5624.42,5726.2,260,260,325,315,900,930,4.66,4.74,315,355,9,0 ,1 ,0 ,1 ,1 ,1.000 ,0 ,0 ,0 ,1 ,1 
177,2014,2015,1772015,201,195,23,24.5,5624.42,5726.2,260,260,310,335,860,885,4.28,4.54,290,290,3,0 ,0 ,0 ,0 ,6 ,.000 ,0 ,0 ,0 ,0 ,0 
177,2015,2016,1772016,205,198,26.5,26.5,6240.09,6240.09,255,270,315,315,915,930,4.46,4.70,345,345,6,0 ,1 ,0 ,1 ,7 ,.143 ,0 ,0 ,0 ,1 ,0 
178,2012,2013,1782013,158,160,25.5,25.5,5331.6,5331.6,210,210,190,215,765,790,4.84,4.94,365,365,21,16 ,28 ,24 ,52 ,80 ,.350 ,0 ,0 ,23 ,19 ,2 
178,2013,2014,1782014,161,162,25.5,25.5,5331.6,5331.6,210,210,215,235,780,800,4.84,4.94,355,355,19,19 ,23 ,19 ,42 ,59 ,.390 ,0 ,0 ,30 ,24 ,3 
178,2014,2015,1782015,168,169,25.5,25.5,5331.6,5331.6,225,225,225,265,820,860,4.88,5.09,370,370,15,12 ,20 ,19 ,39 ,58 ,.345 ,1 ,0 ,20 ,15 ,2 
178,2015,2016,1782016,166,160,27,27,5525.87,5525.87,225,240,245,245,860,875,5.18,5.47,390,390,19,19 ,24 ,32 ,56 ,73 ,.329 ,2 ,0 ,30 ,31 ,2 
179,2012,2013,1792013,191,193,22,27,5344.86,6078.76,215,215,245,245,800,800,4.19,4.15,340,340,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
179,2013,2014,1792014,192,196,22,27,5344.86,6078.76,235,265,255,260,805,900,4.19,4.59,315,375,2,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
179,2014,2015,1792015,195,193,22,27,5344.86,6078.76,250,275,265,295,870,925,4.46,4.79,355,355,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,0 
179,2015,2016,1792016,200,204,26.5,26.5,6147.6,6147.6,255,280,285,285,895,920,4.48,4.51,355,355,5,0 ,1 ,0 ,1 ,3 ,.333 ,1 ,0 ,0 ,0 ,0 
180,2012,2013,1802013,216,211,28.5,30,6634.77,6822.88,280,280,265,275,920,930,4.26,4.41,375,375,7,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
